Sigla automobilistica,Codice regione
TO,01
VC,01
NO,01
CN,01
AT,01
AL,01
BI,01
VB,01
AO,02
VA,03
CO,03
SO,03
MI,03
BG,03
BS,03
PV,03
CR,03
MN,03
LC,03
LO,03
MB,03
BZ,04
TN,04
VR,05
VI,05
BL,05
TV,05
VE,05
PD,05
RO,05
UD,06
GO,06
TS,06
PN,06
IM,07
SV,07
GE,07
SP,07
PC,08
PR,08
RE,08
MO,08
BO,08
FE,08
RA,08
FC,08
RN,08
MS,09
LU,09
PT,09
FI,09
LI,09
PI,09
AR,09
SI,09
GR,09
PO,09
PG,10
TR,10
PU,11
AN,11
MC,11
AP,11
FM,11
VT,12
RI,12
RM,12
LT,12
FR,12
AQ,13
TE,13
PE,13
CH,13
CB,14
IS,14
CE,15
BN,15
NA,15
AV,15
SA,15
FG,16
BA,16
TA,16
BR,16
LE,16
BT,16
PZ,17
MT,17
CS,18
CZ,18
RC,18
KR,18
VV,18
TP,19
PA,19
ME,19
AG,19
CL,19
EN,19
CT,19
RG,19
SR,19
SS,20
NU,20
CA,20
OR,20
OT,20
OG,20
VS,20
CI,20
