Variabile,Tipo
COD_LOCALE_PROGETTO,str
CUP,str
OC_TITOLO_PROGETTO,str
OC_LINK,str
QSN_AREA_OBIETTIVO_UE,str
QSN_FONDO_COMUNITARIO ,str
QSN_COD_PRIORITA ,str
QSN_DESCRIZIONE_PRIORITA ,str
QSN_COD_OBIETTIVO_GENERALE ,str
QSN_DESCR_OBIETTIVO_GENERALE ,str
QSN_CODICE_OBIETTIVO_SPECIFICO ,str
QSN_DESCR_OBIETTIVO_SPECIFICO ,str
QSN_COD_TEMA_PRIORITARIO_UE ,str
QSN_DESCR_TEMA_PRIORITARIO_UE ,str
OC_COD_TEMA_SINTETICO,str
OC_TEMA_SINTETICO,str
OC_COD_FONTE,str
OC_DESCR_FONTE,str
OC_CODICE_PROGRAMMA,str
OC_DESCRIZIONE_PROGRAMMA,str
PO_CODICE_ASSE ,str
PO_DENOMINAZIONE_ASSE ,str
PO_COD_OBIETTIVO_OPERATIVO ,str
PO_OBIETTIVO_OPERATIVO ,str
COD_LINEA,str
DESCR_LINEA,str
COD_AZIONE,str
DESCR_AZIONE,str
COD_STRUMENTO,str
DESCR_STRUMENTO,str
DESCR_TIPO_STRUMENTO,str
DATA_APPROV_STRUMENTO,datetime64
COD_GRANDE_PROGETTO,str
DESCRIZIONE_GRANDE_PROGETTO,str
CUP_COD_NATURA ,str
CUP_DESCR_NATURA ,str
CUP_COD_TIPOLOGIA ,str
CUP_DESCR_TIPOLOGIA ,str
CUP_COD_SETTORE ,str
CUP_DESCR_SETTORE ,str
CUP_COD_SOTTOSETTORE ,str
CUP_DESCR_SOTTOSETTORE ,str
CUP_COD_CATEGORIA ,str
CUP_DESCR_CATEGORIA  ,str
COD_ATECO,str
DESCRIZIONE_ATECO,str
OC_COD_SLL,str
OC_DENOMINAZIONE_SLL,str
FINANZ_UE,float64
FINANZ_STATO_FONDO_DI_ROTAZIONE,float64
FINANZ_STATO_FSC,float64
FINANZ_STATO_PAC,float64
FINANZ_STATO_COMPLETAMENTI,float64
FINANZ_STATO_ALTRI_PROVVEDIMENTI,float64
FINANZ_REGIONE,float64
FINANZ_PROVINCIA,float64
FINANZ_COMUNE,float64
FINANZ_RISORSE_LIBERATE,float64
FINANZ_ALTRO_PUBBLICO,float64
FINANZ_STATO_ESTERO,float64
FINANZ_PRIVATO,float64
FINANZ_DA_REPERIRE,float64
FINANZ_TOTALE_PUBBLICO,float64
COSTO_RENDICONTABILE_UE ,float64
ECONOMIE_TOTALI,float64
ECONOMIE_TOTALI_PUBBLICHE,float64
OC_FINANZ_TOT_PUB_NETTO,float64
IMPEGNI,float64
TOT_PAGAMENTI ,float64
OC_TOT_PAGAMENTI_RENDICONTAB_UE,float64
OC_TOT_PAGAMENTI_FSC,float64
OC_TOT_PAGAMENTI_PAC,float64
COSTO_REALIZZATO,float64
OC_DATA_INIZIO_PREVISTA,datetime64
OC_DATA_FINE_PREVISTA,datetime64
OC_DATA_INIZIO_EFFETTIVA,datetime64
OC_DATA_FINE_EFFETTIVA,datetime64
OC_STATO_FINANZIARIO,str
OC_STATO_PROGETTO,str
COD_PROCED_ATTIVAZIONE,str
DESCR_PROCED_ATTIVAZIONE,str
COD_TIPO_PROCED_ATTIVAZIONE,str
DESCR_TIPO_PROCED_ATTIVAZIONE,str
DATA_PREVISTA_BANDO_PROC_ATTIV,datetime64
DATA_EFFETTIVA_BANDO_PROC_ATTIV,datetime64
DATA_PREVISTA_FINE_PROC_ATTIV,datetime64
DATA_EFFETTIVA_FINE_PROC_ATTIV,datetime64
OC_FLAG_CUP,str
OC_FLAG_PRESENZA_DATE ,str
OC_FLAG_COERENZA_DATE_PREV ,str
OC_FLAG_COERENZA_DATE_EFF,str
OC_FLAG_PAC,str
OC_FLAG_REGIONE_UNICA,str
OC_FLAG_VISUALIZZAZIONE,str
DATA_AGGIORNAMENTO,datetime64
